Date,Open,High,Low,Close,Adj Close,Volume
2015-07-24,4.9475,4.9525,4.835,4.855,4.709027,18884400
2015-07-27,4.8125,4.8825,4.7725,4.8275,4.682353,19242000
2015-07-28,4.84,4.965,4.79,4.9325,4.784196,19830800
2015-07-29,4.9225,5.0325,4.9025,4.9925,4.842392,23268000
2015-07-30,4.98,5.055,4.98,5.005,4.854516,19018000
2015-07-31,5.025,5.0275,4.9575,4.9875,4.837544,21834000
2015-08-03,5.0275,5.0775,4.9625,5.0725,4.919987,39713200
2015-08-04,5.055,5.1075,5.035,5.0925,4.939386,26010000
2015-08-05,5.2175,5.2225,5.135,5.145,4.990307,23462800
2015-08-06,5.1325,5.17,5.0275,5.1125,4.958785,65567600
2015-08-07,5.615,5.8425,5.47,5.745,5.572266,140524800
2015-08-10,5.705,5.9875,5.67,5.945,5.766254,66230400
2015-08-11,5.8575,5.9725,5.8575,5.915,5.737155,43500800
2015-08-12,5.82,5.9725,5.82,5.93,5.751705,38404800
2015-08-13,5.9375,5.95,5.865,5.88,5.703209,27688400
2015-08-14,5.875,5.92,5.84,5.885,5.708059,21465200
2015-08-17,5.875,5.875,5.775,5.8475,5.671685,27388000
2015-08-18,5.805,5.845,5.725,5.77,5.620064,28708400
2015-08-19,5.7625,5.8275,5.685,5.7475,5.598148,24924800
2015-08-20,5.6825,5.71,5.5125,5.54,5.39604,42693200
2015-08-21,5.5,5.5925,5.3625,5.3675,5.228022,38266400
2015-08-24,5.0675,5.4575,5.0,5.1775,5.042959,68228400
2015-08-25,5.405,5.425,5.07,5.07,4.938253,62268400
2015-08-26,5.235,5.4575,5.195,5.4525,5.310813,61497600
2015-08-27,5.51,5.66,5.4775,5.6575,5.510486,46376400
2015-08-28,5.6575,5.7175,5.6175,5.6825,5.534836,32094400
2015-08-31,5.655,5.695,5.5975,5.62,5.47396,21935200
2015-09-01,5.4575,5.55,5.35,5.39,5.249937,35340800
2015-09-02,5.5375,5.555,5.445,5.5525,5.408215,34404400
2015-09-03,5.635,5.6625,5.5575,5.5675,5.422825,26255600
2015-09-04,5.4725,5.56,5.435,5.4375,5.296203,28797200
2015-09-08,5.57,5.6925,5.5475,5.67,5.522661,23844800
2015-09-09,5.6875,5.735,5.545,5.5575,5.413084,28939200
2015-09-10,5.525,5.715,5.5,5.645,5.498311,35707600
2015-09-11,5.5825,5.7,5.56,5.6625,5.515357,30158400
2015-09-14,5.69,5.7075,5.6425,5.6725,5.525096,19246000
2015-09-15,5.675,5.765,5.6575,5.735,5.585972,32797600
2015-09-16,5.725,5.8075,5.6825,5.775,5.624932,17350800
2015-09-17,5.875,5.9275,5.815,5.8275,5.676069,26871200
2015-09-18,5.7475,5.8725,5.7125,5.8225,5.6712,32641200
2015-09-21,5.83,5.895,5.8,5.8825,5.72964,28184000
2015-09-22,5.755,5.795,5.6925,5.7225,5.573797,22835600
2015-09-23,5.7275,5.785,5.705,5.75,5.600582,16163200
2015-09-24,5.715,5.92,5.625,5.86,5.707724,38244000
2015-09-25,5.9325,6.0175,5.845,5.9025,5.749119,36969200
2015-09-28,5.9025,5.94,5.7875,5.825,5.673633,39558400
2015-09-29,5.8875,5.9375,5.805,5.9275,5.773468,38073600
2015-09-30,5.9825,6.17,5.9475,6.1625,6.002363,55638000
2015-10-01,6.1625,6.18,5.8675,6.0425,5.885482,48929600
2015-10-02,6.01,6.2,5.9475,6.2,6.038888,38614400
2015-10-05,6.24,6.4325,6.2075,6.355,6.189862,48202400
2015-10-06,6.2875,6.465,6.2625,6.4375,6.270218,45321600
2015-10-07,6.4525,6.57,6.3475,6.505,6.335964,31015200
2015-10-08,6.4775,6.56,6.3675,6.5425,6.372489,46006800
2015-10-09,6.5075,6.57,6.395,6.5175,6.348138,42324800
2015-10-12,6.525,6.625,6.4775,6.5875,6.416319,22758800
2015-10-13,6.535,6.64,6.5125,6.6,6.428494,29844400
2015-10-14,6.6075,6.9475,6.6,6.84,6.662258,61214800
2015-10-15,6.8525,6.9975,6.7825,6.8575,6.679304,52604800
2015-10-16,6.88,7.03,6.8625,6.965,6.78401,44839600
2015-10-19,6.9875,7.02,6.8725,6.9525,6.771835,29471200
2015-10-20,6.9225,6.975,6.87,6.9425,6.762095,26482400
2015-10-21,6.985,7.0275,6.84,6.8525,6.674434,38628000
2015-10-22,6.9325,7.1225,6.9225,7.1,6.915501,30688400
2015-10-23,7.1625,7.195,7.055,7.1475,6.961766,38177600
2015-10-26,7.1525,7.17,7.05,7.115,6.930111,24743600
2015-10-27,7.08,7.155,7.075,7.11,6.925243,20826800
2015-10-28,7.155,7.1675,7.05,7.1675,6.981249,21703600
2015-10-29,7.0525,7.125,6.9075,6.92,6.740179,32716800
2015-10-30,6.995,7.1425,6.9425,7.0925,6.908198,30116000
2015-11-02,7.115,7.1825,7.0725,7.175,6.988553,19008800
2015-11-03,7.1325,7.1725,7.045,7.125,6.939853,37676800
2015-11-04,7.105,7.1575,6.975,7.0075,6.825406,44226400
2015-11-05,7.0425,7.0625,6.9075,6.9275,6.747485,47880000
2015-11-06,7.6125,7.985,7.455,7.8875,7.682538,117227200
2015-11-09,7.81,7.875,7.7425,7.8525,7.648447,49256800
2015-11-10,7.75,7.7925,7.5375,7.7025,7.502346,55226000
2015-11-11,7.7075,7.7625,7.6,7.6275,7.429294,61989600
2015-11-12,7.61,7.68,7.5675,7.6,7.402508,29108000
2015-11-13,7.6075,7.64,7.4125,7.45,7.256406,29294000
2015-11-16,7.5475,7.605,7.4875,7.6,7.402508,34428000
2015-11-17,7.62,7.665,7.5675,7.6,7.402508,25704800
2015-11-18,7.6025,7.7675,7.52,7.7575,7.584607,35021600
2015-11-19,7.785,7.8575,7.7225,7.78,7.606607,25407200
2015-11-20,7.8375,7.8925,7.79,7.8475,7.672602,23974400
2015-11-23,7.9125,7.9125,7.7025,7.73,7.557722,24255200
2015-11-24,7.73,7.86,7.695,7.7925,7.618829,19542800
2015-11-25,7.7775,7.87,7.755,7.7825,7.609051,13830000
2015-11-27,7.7975,7.8725,7.7575,7.8475,7.672602,8699600
2015-11-30,7.855,7.965,7.8475,7.93,7.753263,32724400
2015-12-01,8.0,8.195,7.9925,8.1875,8.005024,40949600
2015-12-02,8.2,8.285,8.1075,8.125,7.943918,29424000
2015-12-03,8.19,8.275,8.0675,8.1075,7.926807,24665600
2015-12-04,8.1075,8.4525,8.1075,8.4375,8.249451,45875600
2015-12-07,8.435,8.435,8.2525,8.2775,8.093019,33358800
2015-12-08,8.175,8.425,8.1225,8.39,8.203011,31448800
2015-12-09,8.3875,8.4375,8.0925,8.1775,7.995247,37267600
2015-12-10,8.2025,8.29,8.175,8.245,8.061244,23659600
2015-12-11,8.1625,8.22,8.105,8.1225,7.941475,22732000
2015-12-14,8.13,8.1875,8.045,8.1425,7.961027,27589200
2015-12-15,8.235,8.3,8.19,8.2425,8.058797,30729600
2015-12-16,8.26,8.32,8.1875,8.2925,8.107685,23635600
2015-12-17,8.305,8.39,8.1625,8.1675,7.985471,25416000
2015-12-18,8.11,8.1925,8.025,8.035,7.855923,39589600
2015-12-21,8.1225,8.2325,8.05,8.225,8.041686,28421600
2015-12-22,8.25,8.315,8.1825,8.2325,8.049026,13001200
2015-12-23,8.245,8.2975,8.23,8.265,8.080798,12252400
2015-12-24,8.24,8.3125,8.2275,8.2925,8.107685,5244800
2015-12-28,8.205,8.285,8.09,8.285,8.100349,14202400
2015-12-29,8.29,8.445,8.2675,8.42,8.232343,20366000
2015-12-30,8.4125,8.485,8.345,8.3475,8.161458,18034400
2015-12-31,8.335,8.3725,8.24,8.24,8.056355,14852800
2016-01-04,8.0725,8.145,8.01,8.0925,7.912143,35807600
2016-01-05,8.245,8.36,8.125,8.2225,8.039244,49027200
2016-01-06,8.0875,8.125,7.79,7.8825,7.706821,44934400
2016-01-07,7.685,7.7375,7.47,7.57,7.401288,64530400
2016-01-08,7.6675,7.675,7.3925,7.4075,7.242408,39847200
2016-01-11,7.415,7.4725,7.2875,7.42,7.25463,40937200
2016-01-12,7.5525,7.655,7.4925,7.545,7.376844,46935600
2016-01-13,7.6025,7.6525,7.3075,7.315,7.151969,48167200
2016-01-14,7.165,7.25,6.955,7.1675,7.007758,60023600
2016-01-15,6.88,6.9625,6.66,6.7775,6.62645,84145200
2016-01-19,6.9175,7.1125,6.805,6.8325,6.680223,45714000
2016-01-20,6.7025,6.9575,6.6125,6.87,6.716887,48118000
2016-01-21,6.945,7.0575,6.8025,6.95,6.795104,48145600
2016-01-22,7.0825,7.16,7.0675,7.1125,6.953983,25799600
2016-01-25,7.11,7.1925,7.09,7.105,6.94665,27072800
2016-01-26,7.12,7.205,7.0475,7.175,7.015089,22794400
2016-01-27,7.165,7.1875,6.955,7.09,6.931985,23170000
2016-01-28,7.1475,7.1725,6.875,7.0125,6.856212,27677600
2016-01-29,7.0725,7.3375,7.045,7.3225,7.159302,31050400
2016-02-01,7.315,7.3625,7.2525,7.325,7.161747,28988400
2016-02-02,7.25,7.2875,6.965,7.015,6.858656,34190800
2016-02-03,7.07,7.1125,6.8875,7.05,6.892876,32677200
2016-02-04,7.06,7.2125,6.9825,7.0525,6.895321,34814000
2016-02-05,7.005,7.0825,6.5875,6.6075,6.460238,60042800
2016-02-08,6.5075,6.54,6.2125,6.305,6.164479,60885200
2016-02-09,6.23,6.6375,6.2,6.3725,6.230474,42537200
2016-02-10,6.4125,6.5975,6.3225,6.3575,6.215809,33580000
2016-02-11,6.195,6.39,6.195,6.325,6.184034,34014400
2016-02-12,6.425,6.445,6.1875,6.4325,6.289137,34081600
2016-02-16,6.525,6.7575,6.505,6.7475,6.597116,48535200
2016-02-17,6.8325,6.98,6.805,6.915,6.760884,77146800
2016-02-18,7.4825,7.745,7.475,7.51,7.342624,106866000
2016-02-19,7.47,7.6775,7.4125,7.61,7.440396,52562800
2016-02-22,7.72,7.9675,7.705,7.88,7.704377,44966800
2016-02-23,7.8175,7.975,7.78,7.9,7.723932,36938000
2016-02-24,7.8675,7.9675,7.65,7.955,7.777706,33685200
2016-02-25,7.985,8.0125,7.83,7.9725,7.794815,34961600
2016-02-26,8.01,8.03,7.84,7.92,7.743486,36196400
2016-02-29,7.9025,8.005,7.835,7.84,7.693196,32334400
2016-03-01,7.86,8.1875,7.8475,8.1875,8.034189,34870000
2016-03-02,8.1425,8.265,8.1275,8.235,8.080801,23381200
2016-03-03,8.225,8.26,8.0525,8.1625,8.009657,30200400
2016-03-04,8.225,8.2325,8.075,8.1375,7.985124,17530400
2016-03-07,8.0925,8.1475,7.98,8.085,7.933607,23996800
2016-03-08,8.0025,8.05,7.9125,7.9375,7.78887,27494000
2016-03-09,8.0075,8.02,7.83,7.9325,7.783964,22278800
2016-03-10,7.98,8.025,7.76,7.92,7.771698,28608400
2016-03-11,8.0375,8.0575,7.9425,8.055,7.90417,27740000
2016-03-14,8.0175,8.1075,7.98,8.075,7.923796,19031200
2016-03-15,8.0325,8.085,7.8925,8.035,7.884545,22621600
2016-03-16,7.975,8.3025,7.9375,8.275,8.120049,36364400
2016-03-17,8.245,8.285,8.0925,8.205,8.05136,35368000
2016-03-18,8.3025,8.5625,8.25,8.4525,8.294226,54551200
2016-03-21,8.3775,8.48,8.2875,8.4775,8.318758,33778000
2016-03-22,8.45,8.5225,8.3575,8.4625,8.30404,24201200
2016-03-23,8.5,8.67,8.4625,8.6075,8.446327,42900800
2016-03-24,8.53,8.635,8.5025,8.62,8.458591,24495600
2016-03-28,8.605,8.745,8.595,8.7075,8.544452,26538800
2016-03-29,8.67,8.8675,8.65,8.8475,8.68183,26181200
2016-03-30,8.88,9.0625,8.875,8.94,8.772597,37670000
2016-03-31,8.98,9.0,8.8375,8.9075,8.740708,37988400
2016-04-01,8.8525,9.0425,8.785,9.0375,8.868272,34829200
2016-04-04,9.1125,9.16,8.915,8.95,8.782412,39394000
2016-04-05,8.87,9.02,8.835,8.9375,8.770145,33956800
2016-04-06,8.825,8.955,8.6575,8.95,8.782412,45337600
2016-04-07,8.8925,8.9725,8.82,8.8575,8.691642,37810400
2016-04-08,8.93,8.9875,8.8275,8.915,8.748067,25593600
2016-04-11,8.9675,9.1175,8.94,8.97,8.802038,38752400
2016-04-12,9.0,9.0125,8.785,8.96,8.792226,29276400
2016-04-13,9.0,9.1875,9.0,9.185,9.01301,35071600
2016-04-14,9.16,9.25,9.1225,9.21,9.037544,41656400
2016-04-15,9.2075,9.365,9.1775,9.2825,9.108685,43697200
2016-04-18,9.265,9.265,9.1525,9.2425,9.069435,30732000
2016-04-19,9.2775,9.295,9.02,9.0775,8.907523,30915200
2016-04-20,9.0625,9.1675,9.0525,9.1125,8.94187,20017200
2016-04-21,9.115,9.1575,9.0625,9.1025,8.932053,17828000
2016-04-22,9.1325,9.195,9.0375,9.0675,8.897711,22354000
2016-04-25,9.07,9.1625,9.045,9.1125,8.94187,19197200
2016-04-26,9.1675,9.2725,9.08,9.12,8.949227,21453600
2016-04-27,9.0975,9.3325,9.08,9.3275,9.152841,35239600
2016-04-28,9.27,9.325,9.0275,9.05,8.880536,38122400
2016-04-29,9.0125,9.0325,8.785,8.8825,8.716174,32190400
2016-05-02,8.9675,9.055,8.925,9.0,8.831474,25607600
2016-05-03,8.8975,8.935,8.815,8.8925,8.725988,22402400
2016-05-04,8.785,8.7925,8.6,8.69,8.527278,52576400
2016-05-05,8.7625,8.845,8.6775,8.7425,8.578798,24688400
2016-05-06,8.7275,8.855,8.71,8.8325,8.667109,18324000
2016-05-09,8.855,8.8925,8.7475,8.82,8.654843,33333600
2016-05-10,8.875,9.005,8.79,8.99,8.821663,26967600
2016-05-11,9.0175,9.115,8.9675,9.015,8.846193,32817600
2016-05-12,9.08,9.12,8.7325,8.8925,8.725988,67054000
2016-05-13,9.7975,10.25,9.75,10.245,10.053162,211025600
2016-05-16,10.1675,10.7,10.135,10.5475,10.349997,97303200
2016-05-17,10.5,10.645,10.365,10.57,10.372075,62839200
2016-05-18,10.5,10.9625,10.5,10.84,10.63702,54107200
2016-05-19,10.7975,10.965,10.7825,10.8875,10.68363,39888000
2016-05-20,10.955,11.1275,10.9375,11.0825,10.87498,39108400
2016-05-23,11.13,11.1725,11.0325,11.1,10.892152,41363600
2016-05-24,11.105,11.375,11.075,11.34,11.156553,41578800
2016-05-25,11.375,11.4225,11.2025,11.2925,11.109821,45807600
2016-05-26,11.3125,11.495,11.28,11.4125,11.227883,30996400
2016-05-27,11.425,11.4925,11.3875,11.475,11.289371,27741600
2016-05-31,11.525,11.705,11.5175,11.68,11.491054,41252400
2016-06-01,11.625,11.815,11.59,11.7025,11.51319,38713200
2016-06-02,11.765,11.885,11.65,11.785,11.594356,32920800
2016-06-03,11.67,11.685,11.415,11.62,11.432023,46107600
2016-06-06,11.65,11.74,11.5,11.56,11.372994,32251200
2016-06-07,11.63,11.695,11.5775,11.5825,11.395131,19340000
2016-06-08,11.585,11.6275,11.45,11.545,11.358237,23461600
2016-06-09,11.505,11.8625,11.48,11.845,11.653384,47216800
2016-06-10,11.705,11.81,11.535,11.55,11.363158,40002400
2016-06-13,11.5625,11.925,11.5625,11.6975,11.508273,47558800
2016-06-14,11.67,11.775,11.54,11.72,11.530407,29834400
2016-06-15,11.8175,11.9425,11.6875,11.84,11.648466,30103600
2016-06-16,11.7525,11.9075,11.6375,11.8875,11.695197,24645600
2016-06-17,11.9025,11.905,11.6325,11.68,11.491054,47100000
